Тип підприємства;Підприємство;Область;Кіл-ть робочих місць;Сума інвестицій, млн.грн
Електростанції;Сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;"Сонячна електростанція ""Сонячна""";Кіровоградська;NA;170
Електростанції;Гібридна електростанція;Одеська;150;13390
Електростанції;Сонячна електростанція;Одеська;12;NA
Електростанції;Сонячна електростанція;Хмельницька;8;NA
Електростанції;Сонячна електростанція;Дніпропетровська;20;NA
Електростанції;Сонячна електростанція;Херсонська;10;NA
Електростанції;Сонячна електростанція;Одеська;NA;NA
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Одеська;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;"Сонячна електростанція ""Маків-1""";Хмельницька;NA;NA
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Хмельницька;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;"Сонячна електростанція ""Веряця-1""";Закарпатська;NA;NA
Електростанції;"Сонячна електростанція ""Веряця-2""";Закарпатська;NA;NA
Електростанції;Сонячна електростанція;Миколаївська;NA;NA
Електростанції;Сонячна електростанція;Запорізька;NA;NA
Електростанції;Сонячна електростанція;Херсонська;NA;NA
Електростанції;Сонячна електростанція;Хмельницька;NA;NA
Електростанції;"Сонячна електростанція ""Миролюбівка""";Херсонська;NA;NA
Електростанції;"Сонячна електростанція ""Олешки-2""";Херсонська;NA;NA
Електростанції;"Сонячна електростанція ""Олешки-1""";Херсонська;NA;NA
Електростанції;Сонячна електростанція;Хмельницька;NA;NA
Електростанції;"Сонячна електростанція ""Енергетичні поля СЕС Терновиця Енерджі""";Львівська;NA;NA
Електростанції;Сонячна електростанція;Львівська;NA;NA
Електростанції;Сонячна електростанція;Чернігівська;4;NA
Електростанції;"Сонячна електростанція ""Либідь""";Дніпропетровська;NA;NA
Електростанції;"Сонячна електростанція ""Укртрансгазу""";Київська;NA;NA
Електростанції;Писарівська сонячна електростанція;Вінницька;NA;NA
Електростанції;"Сонячна станція ""Іванівка-160""";Черкаська;NA;NA
Електростанції;Сонячна електростанція;Кіровоградська;NA;NA
Електростанції;Сонячна електростанція;Кіровоградська;NA;NA
Електростанції;"Сонячна електростанція ""Рівнянська-2""";Кіровоградська;NA;NA
Електростанції;"Сонячна електростанція ""Рівнянська-400""";Кіровоградська;NA;NA
Електростанції;"Сонячна станція ""Рассвєт""";Кіровоградська;NA;NA
Електростанції;"Сонячна станція ""Трак-Солар""";Кіровоградська;NA;NA
Електростанції;"Сонячна електростанція ""Златодар""";Черкаська;NA;2
Електростанції;Сонячна електростанція;Львівська;NA;14
Електростанції;Сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;Сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;Дахова сонячна електростанція;Дніпропетровська;NA;NA
Електростанції;Дахова сонячна електростанція;Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Київська;NA;NA
Електростанції;Сонячна електростанція; Чернівецька;NA;NA
Електростанції;Сонячна електростанція;Сумська;NA;NA
Електростанції;Сонячна електростанція;Полтавська;NA;NA
Електростанції;"Сонячна електростанція ""Монастирчани-2""";Івано-Франківська;NA;NA
Електростанції;Сонячна електростанція;Івано-Франківська;NA;NA
